id,terrestrial_date,sol,ls,month,min_temp,pressure
2,8/16/12,10,155,6,-75,739
13,8/17/12,11,156,6,-76,740
24,8/18/12,12,156,6,-76,741
35,8/19/12,13,157,6,-74,732
46,8/20/12,14,157,6,-74,740
57,8/21/12,15,158,6,-78,740
68,8/22/12,16,158,6,-77,740
79,8/23/12,17,159,6,-76,742
112,8/27/12,21,161,6,-74,741
114,8/28/12,22,162,6,-74,742
123,8/29/12,23,162,6,-75,741
134,8/30/12,24,163,6,-75,742
145,8/31/12,25,163,6,-75,743
156,9/1/12,26,164,6,-76,745
163,9/2/12,27,164,6,-75,743
170,9/3/12,28,165,6,-75,745
171,9/4/12,29,166,6,-75,747
172,9/5/12,30,166,6,-74,747
173,9/6/12,31,167,6,-74,745
175,9/8/12,33,168,6,-73,748
176,9/10/12,34,168,6,-73,748
177,9/11/12,35,169,6,-73,749
178,9/12/12,36,169,6,-73,750
179,9/13/12,37,170,6,-73,750
180,9/14/12,38,171,6,-73,750
181,9/15/12,39,171,6,-75,751
182,9/16/12,40,172,6,-75,753
183,9/17/12,41,172,6,-75,753
184,9/18/12,42,173,6,-75,754
185,9/19/12,43,173,6,-74,756
186,9/20/12,44,174,6,-75,757
187,9/21/12,45,175,6,-74,758
188,9/22/12,46,175,6,-74,758
189,9/23/12,47,176,6,-75,758
190,9/24/12,48,176,6,-75,759
191,9/25/12,49,177,6,-74,761
192,9/26/12,50,177,6,-72,761
193,9/27/12,51,178,6,-76,762
194,9/28/12,52,179,6,-74,762
195,9/29/12,53,179,6,-71,764
196,9/30/12,54,180,7,-72,766
197,10/1/12,55,180,7,-74,766
198,10/2/12,56,181,7,-73,768
199,10/3/12,57,181,7,-73,769
200,10/4/12,58,182,7,-74,769
201,10/5/12,59,183,7,-76,771
202,10/6/12,60,183,7,-75,772
203,10/7/12,61,184,7,-72,772
204,10/8/12,62,184,7,-72,774
205,10/9/12,63,185,7,-73,775
206,10/10/12,64,186,7,-74,776
207,10/11/12,65,186,7,-72,777
208,10/12/12,66,187,7,-73,778
209,10/13/12,67,187,7,-73,780
210,10/14/12,68,188,7,-71,781
211,10/15/12,69,189,7,-73,778
212,10/17/12,70,189,7,-72,783
213,10/18/12,71,190,7,-71,784
214,10/19/12,72,190,7,-73,785
215,10/20/12,73,191,7,-70,788
216,10/21/12,74,192,7,-72,790
217,10/22/12,75,192,7,-73,791
218,10/23/12,76,193,7,-73,792
219,10/24/12,77,193,7,-71,792
220,10/25/12,78,194,7,-71,793
221,10/26/12,79,195,7,-73,795
222,10/27/12,80,195,7,-70,796
223,10/28/12,81,196,7,-72,798
224,10/29/12,82,196,7,-72,799
225,10/30/12,83,197,7,-72,801
226,10/31/12,84,198,7,-70,801
227,11/1/12,85,198,7,-71,805
228,11/2/12,86,199,7,-71,808
229,11/3/12,87,199,7,-70,808
230,11/4/12,88,200,7,-70,811
231,11/5/12,89,201,7,-73,813
233,11/6/12,90,201,7,-71,813
234,11/7/12,91,202,7,-74,817
235,11/8/12,92,202,7,-74,820
236,11/9/12,93,203,7,-72,819
237,11/10/12,94,204,7,-70,822
238,11/11/12,95,204,7,-68,822
239,11/12/12,96,205,7,-71,826
240,11/13/12,97,206,7,-68,828
241,11/14/12,98,206,7,-68,828
242,11/15/12,99,207,7,-68,829
3,11/16/12,100,207,7,-66,829
4,11/17/12,101,208,7,-65,830
5,11/18/12,102,209,7,-67,833
6,11/19/12,103,209,7,-66,836
7,11/20/12,104,210,8,-67,838
8,11/21/12,105,211,8,-66,839
9,11/23/12,106,211,8,-66,841
10,11/24/12,107,212,8,-66,844
11,11/25/12,108,212,8,-65,845
12,11/26/12,109,213,8,-64,844
14,11/27/12,110,214,8,-65,848
15,11/28/12,111,214,8,-66,849
16,11/29/12,112,215,8,-65,852
17,11/30/12,113,216,8,-66,857
18,12/1/12,114,216,8,-69,857
19,12/2/12,115,217,8,-66,857
20,12/3/12,116,217,8,-67,859
21,12/4/12,117,218,8,-66,861
22,12/5/12,118,219,8,-65,864
23,12/6/12,119,219,8,-66,866
25,12/7/12,120,220,8,-67,867
26,12/8/12,121,221,8,-66,869
27,12/9/12,122,221,8,-65,869
28,12/10/12,123,222,8,-66,875
29,12/11/12,124,223,8,-66,876
30,12/12/12,125,223,8,-68,880
31,12/13/12,126,224,8,-66,880
32,12/14/12,127,224,8,-67,884
33,12/15/12,128,225,8,-67,883
34,12/16/12,129,226,8,-65,886
36,12/17/12,130,226,8,-65,888
